reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,4,2,30,5,55.39034320000792,,55.378216300014174,55.39034320000792,56.39061150001362,56.39061150001362,56.39061150001362,56.40921530002379,l,0.0054342000221367925,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,4,3,31,1,56.4235028999974,,56.41019130000495,56.4235028999974,57.423813000001246,57.423813000001246,57.423813000001246,58.82614300001296,l,1.3887509999913163,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,4,4,32,0,58.839547400013544,,58.82719040001393,58.839547400013544,59.839727500017034,59.839727500017034,59.839727500017034,59.92360920002102,t,0.07801080000353977,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,4,5,33,3,59.939297100005206,,59.924066300009144,59.939297100005206,60.939227100025164,60.939227100025164,60.939227100025164,61.22455360001186,l,0.28180779999820516,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,4,6,34,2,61.23905720000039,,61.225777700019535,61.23905720000039,62.23909330001334,62.23909330001334,62.23909330001334,62.507546700013336,l,0.25199600000632927,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,5,0,35,3,62.522443000023486,,62.50845660001505,62.522443000023486,63.52229510000325,63.52229510000325,63.52229510000325,63.8080080000218,l,0.2682199999981094,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
67,75,119,5,1,36,5,63.82195770001272,,63.808997800020734,63.82195770001272,64.82200280000689,64.82200280000689,64.82200280000689,65.12342860002536,l,0.29091440001502633,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,5,2,37,6,65.13802910002414,,65.12423660000786,65.13802910002414,66.13846210000338,66.13846210000338,66.13846210000338,67.40805640001781,t,1.2550459999765735,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,5,3,38,1,67.4211459000071,,67.40904660001979,67.4211459000071,68.4212256000028,68.4212256000028,68.4212256000028,68.70826440001838,l,0.28168559999903664,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,5,4,39,0,68.72081290002097,,68.70952870001202,68.72081290002097,69.72070400000666,69.72070400000666,69.72070400000666,69.73951430001762,l,0.010510699998121709,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,5,5,40,2,69.75404150001123,,69.7403270000068,69.75404150001123,70.75398380000843,70.75398380000843,70.75398380000843,71.4564706000092,l,0.6903239999955986,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
49,60,89,5,6,41,4,71.47032340001897,,71.45733530001598,71.47032340001897,72.47023760000593,72.47023760000593,72.47023760000593,73.40500749999774,l,0.9230611000093631,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,6,0,42,0,73.41992179999943,,73.40614679999999,73.41992179999943,74.41982570002438,74.41982570002438,74.41982570002438,74.73802440002328,t,0.307156800001394,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,6,1,43,6,74.75297830000636,,74.73894950002432,74.75297830000636,75.75275530002546,75.75275530002546,75.75275530002546,75.92277990002185,l,0.15163129998836666,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
67,75,119,6,2,44,5,75.93586960001267,,75.92394510001759,75.93586960001267,76.93637690000469,76.93637690000469,76.93637690000469,77.60519570001634,l,0.6596896999981254,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,6,3,45,2,77.61897510002018,,77.60684290001518,77.61897510002018,78.61924860000727,78.61924860000727,78.61924860000727,78.77047590000439,t,0.13826839998364449,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
49,60,89,6,4,46,4,78.78519380002399,,78.7708510000084,78.78519380002399,79.78588219999801,79.78588219999801,79.78588219999801,80.23712600002182,l,0.43397969999932684,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,6,5,47,1,80.25173300001188,,80.23809560001246,80.25173300001188,81.2519275000086,81.2519275000086,81.2519275000086,81.28834850000567,l,0.02422870000009425,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,6,6,48,3,81.30150160001358,,81.2894519000256,81.30150160001358,82.30174120000447,82.30174120000447,82.30174120000447,82.33718500001123,t,0.030773400008911267,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,7,0,49,6,82.35145460002241,,82.3380557000055,82.35145460002241,83.3509043000231,83.3509043000231,83.3509043000231,83.5373166000063,l,0.184305900009349,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,7,1,50,2,83.55089430001681,,83.53828800001065,83.55089430001681,84.55125480002607,84.55125480002607,84.55125480002607,84.85377510002581,l,0.29341289997682907,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
67,75,119,7,2,51,5,84.86749289999716,,84.85464299999876,84.86749289999716,85.86739769999986,85.86739769999986,85.86739769999986,85.95181910000974,t,0.0828375999990385,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,7,3,52,3,85.96718010000768,,85.95253890001914,85.96718010000768,86.96777499999735,86.96777499999735,86.96777499999735,87.28526280002552,l,0.308531699993182,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
49,60,89,7,4,53,4,87.30021820002003,,87.28581310002482,87.30021820002003,88.30004990001908,88.30004990001908,88.30004990001908,88.65317830001004,l,0.3397873000067193,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,7,5,54,1,88.6665675000113,,88.65418300000601,88.6665675000113,89.66676900000311,89.66676900000311,89.66676900000311,90.21907260001171,l,0.5350059999909718,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,7,6,55,0,90.23305150002125,,90.22014550000313,90.23305150002125,91.23299050002242,91.23299050002242,91.23299050002242,91.61875570000848,t,0.3837405999947805,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
67,75,119,8,0,56,5,91.63279350000084,,91.61959860002389,91.63279350000084,92.63279890001286,92.63279890001286,92.63279890001286,92.65087610000046,t,0.011798899999121204,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,8,1,57,2,92.66585010002018,,92.65166350000072,92.66585010002018,93.66595799999777,93.66595799999777,93.66595799999777,94.15167640001164,t,0.470324800000526,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,8,2,58,6,94.16545120000956,,94.15268980001565,94.16545120000956,95.1653476000065,95.1653476000065,95.1653476000065,95.28546949999873,l,0.11493100001825951,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,8,3,59,1,95.29824820000795,,95.28678860000218,95.29824820000795,96.29831199999899,96.29831199999899,96.29831199999899,96.56852940001409,l,0.2532795000006445,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,8,4,60,3,96.58154320000904,,96.56980210001348,96.58154320000904,97.58148220001021,97.58148220001021,97.58148220001021,97.81798770002206,l,0.23176759999478236,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
49,60,89,8,5,61,4,97.83144200002425,,97.81915360002313,97.83144200002425,98.83117070002481,98.83117070002481,98.83117070002481,98.90041570001631,t,0.0661236000014469,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,8,6,62,0,98.91470210000989,,98.90135820000432,98.91470210000989,99.91403520002495,99.91403520002495,99.91403520002495,100.23266400001012,l,0.3062797999882605,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,9,0,63,0,100.24762380000902,,100.23333780001849,100.24762380000902,101.24719059999916,101.24719059999916,101.24719059999916,101.31679930002429,l,0.06365630001528189,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
